n,p,k,blockNum,effectSizeScale,noiseScale,distanceNoiseScale,distanceReshufflePercentage,mode_regressionModel,seed,p_mse, p_auc, b_mse, b_auc, ars
100.0,50.0,5.0,10.0,5.0,0.1,0.1,0.5,1.0,1.0,nan,nan,37.374102871638286,0.503378,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.1,0.5,1.0,2.0,nan,nan,40.38955642861031,0.47442288888888884,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.1,0.5,1.0,3.0,nan,nan,46.780742132045305,0.5120802222222223,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.1,1.0,0.0,1.0,0.6016000000000001,0.5040939999999999,15.204362825888602,0.542958,-0.001937984496124031,
100.0,50.0,5.0,10.0,5.0,0.1,0.1,1.0,0.0,2.0,0.12040000000000001,0.492652,16.271430474104704,0.5037657777777778,0.004581901489117984,
100.0,50.0,5.0,10.0,5.0,0.1,0.1,1.0,0.0,3.0,0.1268,0.5201568888888889,28.304009767354856,0.5213942222222222,-0.02,
100.0,50.0,5.0,10.0,5.0,0.1,0.1,1.0,1.0,1.0,nan,nan,36.95048327145635,0.4996217777777778,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,0.1,1.0,1.0,2.0,nan,nan,38.947426918744384,0.4702044444444445,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,1.0,0.0,0.0,1.0,0.32239999999999996,0.5468377777777778,19.609744266827676,0.5570186666666667,0.8063264697105341,
100.0,50.0,5.0,10.0,5.0,0.1,1.0,0.0,0.0,3.0,0.11979999999999999,0.5740813333333333,19.037994021169375,0.5623922222222222,0.7043010752688172,
100.0,50.0,5.0,10.0,5.0,0.1,1.0,0.0,1.0,1.0,nan,nan,36.365431530593455,0.5115064444444444,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,1.0,0.0,1.0,2.0,nan,nan,36.450157583523634,0.4798422222222222,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,1.0,0.5,0.0,1.0,0.31320000000000003,0.5179608888888889,20.68308724511217,0.523162,0.03519969055217097,
100.0,50.0,5.0,10.0,5.0,0.1,1.0,0.5,0.0,2.0,0.1214,0.504324,16.623505317384502,0.505382,0.06735789396279138,
100.0,50.0,5.0,10.0,5.0,0.1,1.0,0.5,1.0,2.0,nan,nan,40.11229195314051,0.47456044444444445,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,1.0,0.5,1.0,3.0,nan,nan,46.34135964259395,0.5143226666666666,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,1.0,1.0,0.0,2.0,0.1168,0.48552355555555554,15.446242123439701,0.5088173333333333,-0.002881512217611803,
100.0,50.0,5.0,10.0,5.0,0.1,1.0,1.0,1.0,1.0,nan,nan,36.964869460693734,0.4998315555555556,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,1.0,1.0,1.0,2.0,nan,nan,38.96878079485837,0.47117333333333333,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.1,1.0,1.0,1.0,3.0,nan,nan,47.56306371276391,0.5126757777777778,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,0.0,0.0,0.0,1.0,0.324,0.5491555555555555,20.09709485582407,0.5554666666666667,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,0.0,0.0,0.0,2.0,0.14,0.5769333333333334,17.6709395283342,0.5599999999999999,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,0.0,0.0,0.0,3.0,0.36,0.5642222222222222,18.260269069452043,0.5591333333333334,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,0.0,0.0,1.0,2.0,nan,nan,37.12582880160923,0.4799555555555556,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,0.0,0.5,1.0,3.0,nan,nan,47.679174572797066,0.5177417777777777,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,0.0,1.0,0.0,1.0,0.5236000000000001,0.5095933333333333,16.760404240531273,0.5350533333333333,0.003015873015873016,
100.0,50.0,5.0,10.0,5.0,0.5,0.0,1.0,0.0,2.0,0.1052,0.5018844444444445,12.413694946939167,0.5373266666666667,-0.016601307189542485,
100.0,50.0,5.0,10.0,5.0,0.5,0.0,1.0,0.0,3.0,0.5932,0.5037022222222223,18.953107265865455,0.5081622222222222,0.024102564102564103,
100.0,50.0,5.0,10.0,5.0,0.5,0.0,1.0,1.0,2.0,nan,nan,39.62572178806416,0.4712577777777778,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,0.0,1.0,1.0,3.0,nan,nan,46.53689932690421,0.5150355555555556,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,0.1,0.0,0.0,1.0,0.324,0.5495182222222222,20.070952663147654,0.5557842222222222,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,0.1,0.0,0.0,2.0,0.14,0.5783817777777778,17.664952614310454,0.5608751111111111,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,0.1,0.0,1.0,1.0,nan,nan,36.32328650682888,0.5092715555555556,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,0.1,0.0,1.0,3.0,nan,nan,42.4306077730098,0.5550866666666666,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,0.1,0.5,0.0,2.0,0.1206,0.4994868888888889,16.554831447267407,0.5087955555555554,0.07215199231167295,
100.0,50.0,5.0,10.0,5.0,0.5,0.1,0.5,0.0,3.0,0.2672,0.5172760000000001,28.953124428016313,0.5229815555555556,0.06296296296296296,
100.0,50.0,5.0,10.0,5.0,0.5,0.1,0.5,1.0,1.0,nan,nan,37.51174069966444,0.5024762222222222,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,0.1,0.5,1.0,2.0,nan,nan,40.400133880829856,0.4742182222222222,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,0.1,0.5,1.0,3.0,nan,nan,46.475659412150684,0.5164388888888889,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,0.1,1.0,0.0,3.0,0.2868,0.520510888888889,28.424730572850795,0.5211064444444444,-0.02,
100.0,50.0,5.0,10.0,5.0,0.5,0.1,1.0,1.0,1.0,nan,nan,37.068620675580405,0.4990482222222222,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,0.1,1.0,1.0,2.0,nan,nan,38.87275772271277,0.4702137777777778,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,0.1,1.0,1.0,3.0,nan,nan,47.402834697112525,0.5130562222222222,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,1.0,0.0,0.0,3.0,0.3449999999999999,0.5676308888888888,19.035139076926516,0.559217111111111,0.7029659141212926,
100.0,50.0,5.0,10.0,5.0,0.5,1.0,0.0,1.0,2.0,nan,nan,36.413726289041904,0.4780404444444445,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,1.0,0.0,1.0,3.0,nan,nan,42.83855368751915,0.5599668888888889,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,1.0,0.5,0.0,2.0,0.12300000000000001,0.5025062222222223,17.257834839803103,0.5026582222222222,0.08399710354815351,
100.0,50.0,5.0,10.0,5.0,0.5,1.0,0.5,0.0,3.0,0.267,0.5197042222222222,28.902442818028707,0.5237655555555556,0.06296296296296296,
100.0,50.0,5.0,10.0,5.0,0.5,1.0,0.5,1.0,1.0,nan,nan,37.633491844288784,0.5016402222222223,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,1.0,0.5,1.0,2.0,nan,nan,40.10767753495853,0.47499977777777774,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,1.0,0.5,1.0,3.0,nan,nan,46.0327511268253,0.5182795555555556,0.8888888888888888,
100.0,50.0,5.0,10.0,5.0,0.5,1.0,1.0,0.0,1.0,0.6004000000000002,0.5068971111111111,15.17345939974042,0.5432617777777777,-0.004712404712404712,
100.0,50.0,5.0,10.0,5.0,0.5,1.0,1.0,0.0,2.0,0.1176,0.48622,15.76828783022392,0.5092017777777778,-0.0035292041644609143,
100.0,50.0,5.0,10.0,5.0,0.5,1.0,1.0,1.0,2.0,nan,nan,38.89186319764251,0.470998,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,0.0,0.0,0.0,1.0,0.32,0.5502888888888888,80.00512138340264,0.5541777777777778,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,0.0,0.0,0.0,3.0,0.118,0.5688222222222222,71.89050919147938,0.5601555555555555,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,0.0,0.0,1.0,2.0,nan,nan,148.6585767835091,0.4795111111111111,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,0.0,0.0,1.0,3.0,nan,nan,170.4553594016681,0.5480666666666668,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,0.0,0.5,1.0,1.0,nan,nan,149.76221261367584,0.5000646666666666,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,0.0,0.5,1.0,2.0,nan,nan,160.87155799323477,0.4823951111111111,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,0.0,1.0,0.0,2.0,0.10279999999999999,0.5046222222222222,45.235602166345394,0.5470400000000001,-0.004587813620071685,
100.0,50.0,5.0,10.0,10.0,0.1,0.0,1.0,0.0,3.0,0.11479999999999999,0.5095444444444445,76.72738814198527,0.5115577777777778,0.003015873015873016,
100.0,50.0,5.0,10.0,10.0,0.1,0.0,1.0,1.0,1.0,nan,nan,147.20785439202365,0.5041111111111112,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,0.0,1.0,1.0,2.0,nan,nan,158.65154014929527,0.47196222222222217,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,0.0,1.0,1.0,3.0,nan,nan,187.41823062037136,0.5151488888888889,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,0.1,0.0,0.0,1.0,0.32,0.5480640000000001,79.95122264203964,0.5502711111111112,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,0.1,0.0,0.0,2.0,0.14,0.576368,70.23058629247589,0.5627617777777778,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,0.1,0.0,1.0,1.0,nan,nan,145.20004595780657,0.5090017777777778,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,0.1,0.0,1.0,3.0,nan,nan,170.50621637440247,0.5487337777777779,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,0.1,0.5,0.0,1.0,0.3888000000000001,0.5161566666666666,77.10804050350535,0.5218151111111111,0.05101275318829707,
100.0,50.0,5.0,10.0,10.0,0.1,0.1,0.5,1.0,2.0,nan,nan,161.63909329137195,0.4749226666666667,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,0.1,0.5,1.0,3.0,nan,nan,187.40964054129267,0.5110671111111111,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,0.1,1.0,0.0,1.0,0.6016000000000001,0.5065171111111111,60.838735444749176,0.5234168888888888,-0.001937984496124031,
100.0,50.0,5.0,10.0,10.0,0.1,0.1,1.0,0.0,2.0,0.1192,0.4921824444444445,63.56820361108049,0.5111764444444444,-0.006665333599946677,
100.0,50.0,5.0,10.0,10.0,0.1,0.1,1.0,0.0,3.0,0.1288,0.5224426666666666,114.01327088969191,0.521652,-0.02,
100.0,50.0,5.0,10.0,10.0,0.1,0.1,1.0,1.0,1.0,nan,nan,147.76442376477343,0.5003,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,0.1,1.0,1.0,3.0,nan,nan,190.877936452227,0.5097488888888888,0.8888888888888888,
100.0,50.0,5.0,10.0,10.0,0.1,1.0,0.0,0.0,1.0,0.32539999999999997,0.5473062222222222,78.98732869795015,0.550832,0.858085808580858,
